account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,subscription_id,start_date,end_date,mrr_amount,arr_amount,upgrade_flag,downgrade_flag,billing_frequency,auto_renew_flag,usage_count,error_count,total_tickets,avg_satisfaction
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-faa8ec,2024-12-09,,209,2508,False,False,monthly,True,42.0,0.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-b78829,2024-11-12,,980,11760,False,False,monthly,True,46.0,4.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-7ce677,2024-10-20,,441,5292,False,False,monthly,True,44.0,5.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-34a131,2024-11-29,,1791,21492,False,False,annual,False,41.0,6.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-1e349b,2024-11-13,,1938,23256,False,False,monthly,True,66.0,0.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d24841,2024-11-17,,0,0,True,False,annual,True,78.0,4.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-c4cef7,2024-10-25,,637,7644,False,False,annual,False,60.0,2.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-3d7bed,2024-12-22,,836,10032,False,False,monthly,True,82.0,5.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-e79dbc,2024-10-30,,0,0,False,False,monthly,True,58.0,7.0,2.0,3.4906382978723407
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,S-d4d459,2024-12-19,,5771,69252,False,False,monthly,True,18.0,5.0,2.0,3.4906382978723407
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-f3274c,2024-02-07,,882,10584,False,False,annual,False,30.0,0.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-8e5fd4,2024-03-09,,513,6156,True,False,annual,True,69.0,4.0,3.0,4.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,S-fa8c75,2024-07-08,,882,10584,False,False,monthly,True,40.0,1.0,3.0,4.0
